date,weekday,open,close,high,low,openNow,openNowFake,openForward,OpenM1
2022-01-03,(週一),1.3527,1.3458,1.3534,1.3431,1.3468,,,1.3468
2022-01-04,(週二),1.3468,1.3526,1.3557,1.3455,1.3526,1.3527,,1.3526
2022-01-05,(週三),1.3526,1.3553,1.3599,1.3521,1.3553,1.3468,,1.3553
2022-01-06,(週四),1.3553,1.3528,1.3559,1.3491,1.3528,1.3526,,1.3528
2022-01-07,(週五),1.3528,1.3590,1.3597,1.3527,1.3572,1.3553,,1.3572
2022-01-10,(週一),1.3572,1.3565,1.3604,1.3532,1.3570,1.3528,,1.3570
2022-01-11,(週二),1.3570,1.3633,1.3636,1.3561,1.3632,1.3572,,1.3632
2022-01-12,(週三),1.3632,1.3701,1.3714,1.3621,1.3701,1.3570,,1.3701
2022-01-13,(週四),1.3701,1.3706,1.3749,1.3700,1.3705,1.3632,,1.3705
2022-01-14,(週五),1.3705,1.3646,1.3743,1.3645,1.3671,1.3701,,1.3671
2022-01-17,(週一),1.3671,1.3639,1.3689,1.3637,1.3642,1.3705,,1.3642
2022-01-18,(週二),1.3642,1.3592,1.3661,1.3573,1.3589,1.3671,,1.3589
2022-01-19,(週三),1.3589,1.3609,1.3649,1.3587,1.3603,1.3642,,1.3603
2022-01-20,(週四),1.3603,1.3597,1.3662,1.3587,1.3597,1.3589,,1.3597
2022-01-21,(週五),1.3597,1.3547,1.3602,1.3545,1.3548,1.3603,,1.3548
2022-01-24,(週一),1.3548,1.3488,1.3565,1.3440,1.3488,1.3597,,1.3488
2022-01-25,(週二),1.3488,1.3500,1.3519,1.3436,1.3503,1.3548,,1.3503
2022-01-26,(週三),1.3503,1.3456,1.3524,1.3444,1.3454,1.3488,,1.3454
2022-01-27,(週四),1.3454,1.3374,1.3468,1.3358,1.3379,1.3503,,1.3379
2022-01-28,(週五),1.3379,1.3395,1.3433,1.3365,1.3395,1.3454,,1.3395
2022-01-31,(週一),1.3395,1.3441,1.3460,1.3386,1.3436,1.3379,,1.3436
2022-02-01,(週二),1.3436,1.3516,1.3528,1.3431,1.3515,1.3395,,1.3515
2022-02-02,(週三),1.3515,1.3571,1.3587,1.3513,1.3575,1.3436,,1.3575
2022-02-03,(週四),1.3575,1.3589,1.3628,1.3538,1.3589,1.3515,,1.3589
2022-02-04,(週五),1.3589,1.3527,1.3615,1.3504,1.3532,1.3575,,1.3532
2022-02-07,(週一),1.3532,1.3535,1.3551,1.3491,1.3529,1.3589,,1.3529
2022-02-08,(週二),1.3529,1.3534,1.3564,1.3508,1.3535,1.3532,,1.3535
2022-02-09,(週三),1.3535,1.3534,1.3589,1.3526,1.3534,1.3529,,1.3534
2022-02-10,(週四),1.3534,1.3554,1.3644,1.3523,1.3557,1.3535,,1.3557
2022-02-11,(週五),1.3557,1.3559,1.3610,1.3514,1.3549,1.3534,,1.3549
2022-02-14,(週一),1.3549,1.3514,1.3572,1.3495,1.3521,1.3557,,1.3521
2022-02-15,(週二),1.3521,1.3526,1.3567,1.3486,1.3540,1.3549,,1.3540
2022-02-16,(週三),1.3540,1.3579,1.3601,1.3527,1.3578,1.3521,,1.3578
2022-02-17,(週四),1.3578,1.3610,1.3638,1.3555,1.3611,1.3540,,1.3611
2022-02-18,(週五),1.3611,1.3592,1.3643,1.3573,1.3590,1.3578,,1.3590
2022-02-21,(週一),1.3590,1.3593,1.3638,1.3586,1.3595,1.3611,,1.3595
2022-02-22,(週二),1.3595,1.3566,1.3605,1.3538,1.3580,1.3590,,1.3580
2022-02-23,(週三),1.3580,1.3538,1.3621,1.3536,1.3410,1.3595,,1.3410
2022-02-24,(週四),1.3410,1.3367,1.3549,1.3273,1.3370,1.3580,,1.3370
2022-02-25,(週五),1.3370,1.3409,1.3439,1.3363,1.3342,1.3410,,1.3342
2022-02-28,(週一),1.3342,1.3402,1.3432,1.3327,1.3421,1.3370,,1.3421
2022-03-01,(週二),1.3421,1.3314,1.3438,1.3302,1.3318,1.3342,,1.3318
2022-03-02,(週三),1.3318,1.3401,1.3407,1.3272,1.3404,1.3421,,1.3404
2022-03-03,(週四),1.3404,1.3344,1.3418,1.3317,1.3344,1.3318,,1.3344
2022-03-04,(週五),1.3344,1.3233,1.3354,1.3202,1.3228,1.3404,,1.3228
2022-03-07,(週一),1.3228,1.3102,1.3226,1.3101,1.3103,1.3344,,1.3103
2022-03-08,(週二),1.3103,1.3093,1.3144,1.3082,1.3095,1.3228,,1.3095
2022-03-09,(週三),1.3095,1.3175,1.3190,1.3088,1.3175,1.3103,,1.3175
2022-03-10,(週四),1.3175,1.3082,1.3195,1.3081,1.3081,1.3095,,1.3081
2022-03-11,(週五),1.3081,1.3036,1.3125,1.3027,1.3039,1.3175,,1.3039
2022-03-14,(週一),1.3039,1.3002,1.3079,1.3001,1.3006,1.3081,,1.3006
2022-03-15,(週二),1.3006,1.3037,1.3088,1.3000,1.3036,1.3039,,1.3036
2022-03-16,(週三),1.3036,1.3145,1.3156,1.3036,1.3141,1.3006,,1.3141
2022-03-17,(週四),1.3141,1.3147,1.3211,1.3088,1.3149,1.3036,,1.3149
2022-03-18,(週五),1.3149,1.3170,1.3197,1.3111,1.3169,1.3141,,1.3169
2022-03-21,(週一),1.3169,1.3163,1.3210,1.3127,1.3164,1.3149,,1.3164
2022-03-22,(週二),1.3164,1.3261,1.3273,1.3120,1.3262,1.3169,,1.3262
2022-03-23,(週三),1.3262,1.3205,1.3299,1.3175,1.3205,1.3164,,1.3205
2022-03-24,(週四),1.3205,1.3186,1.3214,1.3157,1.3185,1.3262,,1.3185
2022-03-25,(週五),1.3185,1.3179,1.3225,1.3159,1.3172,1.3205,,1.3172
2022-03-28,(週一),1.3172,1.3096,1.3176,1.3067,1.3095,1.3185,,1.3095
2022-03-29,(週二),1.3095,1.3096,1.3160,1.3051,1.3096,1.3172,,1.3096
2022-03-30,(週三),1.3096,1.3134,1.3183,1.3089,1.3134,1.3095,,1.3134
2022-03-31,(週四),1.3134,1.3139,1.3175,1.3105,1.3141,1.3096,,1.3141
2022-04-01,(週五),1.3141,1.3111,1.3152,1.3086,1.3104,1.3134,,1.3104
2022-04-04,(週一),1.3104,1.3111,1.3137,1.3093,1.3110,1.3141,,1.3110
2022-04-05,(週二),1.3110,1.3072,1.3167,1.3067,1.3072,1.3104,,1.3072
2022-04-06,(週三),1.3072,1.3064,1.3108,1.3043,1.3056,1.3110,,1.3056
2022-04-07,(週四),1.3056,1.3073,1.3107,1.3052,1.3071,1.3072,,1.3071
2022-04-08,(週五),1.3071,1.3033,1.3080,1.2982,1.3039,1.3056,,1.3039
2022-04-11,(週一),1.3039,1.3028,1.3057,1.2989,1.3027,1.3071,,1.3027
2022-04-12,(週二),1.3027,1.2999,1.3054,1.2993,1.3000,1.3039,,1.3000
2022-04-13,(週三),1.3000,1.3090,1.3117,1.2972,1.3115,1.3027,,1.3115
2022-04-14,(週四),1.3115,1.3071,1.3147,1.3020,1.3072,1.3000,,1.3072
2022-04-15,(週五),1.3072,1.3054,1.3076,1.3039,1.3063,1.3115,,1.3063
2022-04-18,(週一),1.3063,1.3006,1.3064,1.2993,1.3008,1.3072,,1.3008
2022-04-19,(週二),1.3008,1.2994,1.3041,1.2981,1.2995,1.3063,,1.2995
2022-04-20,(週三),1.2995,1.3055,1.3071,1.2988,1.3048,1.3008,,1.3048
2022-04-21,(週四),1.3048,1.3027,1.3090,1.3015,1.3028,1.2995,,1.3028
2022-04-22,(週五),1.3028,1.2837,1.3035,1.2822,1.2829,1.3048,,1.2829
2022-04-25,(週一),1.2829,1.2737,1.2832,1.2697,1.2738,1.3028,,1.2738
2022-04-26,(週二),1.2738,1.2575,1.2772,1.2570,1.2577,1.2829,,1.2577
2022-04-27,(週三),1.2577,1.2535,1.2602,1.2502,1.2539,1.2738,,1.2539
2022-04-28,(週四),1.2539,1.2437,1.2570,1.2411,1.2439,1.2577,,1.2439
2022-04-29,(週五),1.2439,1.2577,1.2615,1.2439,1.2579,1.2539,,1.2579
2022-05-02,(週一),1.2579,1.2484,1.2597,1.2454,1.2487,1.2439,,1.2487
2022-05-03,(週二),1.2487,1.2489,1.2567,1.2470,1.2486,1.2579,,1.2486
2022-05-04,(週三),1.2486,1.2618,1.2638,1.2451,1.2623,1.2487,,1.2623
2022-05-05,(週四),1.2623,1.2357,1.2633,1.2325,1.2357,1.2486,,1.2357
2022-05-06,(週五),1.2357,1.2336,1.2380,1.2276,1.2337,1.2623,,1.2337
2022-05-09,(週一),1.2337,1.2328,1.2406,1.2261,1.2328,1.2357,,1.2328
2022-05-10,(週二),1.2328,1.2310,1.2376,1.2291,1.2316,1.2337,,1.2316
2022-05-11,(週三),1.2316,1.2243,1.2400,1.2237,1.2243,1.2328,,1.2243
2022-05-12,(週四),1.2243,1.2191,1.2253,1.2265,1.2194,1.2316,,1.2194
2022-05-13,(週五),1.2194,1.2259,1.2260,1.2155,1.2253,1.2243,,1.2253
2022-05-16,(週一),1.2253,1.2313,1.2329,1.2216,1.2316,1.2194,,1.2316
2022-05-17,(週二),1.2316,1.2480,1.2499,1.2314,1.2489,1.2253,,1.2489
2022-05-18,(週三),1.2489,1.2333,1.2501,1.2324,1.2344,1.2316,,1.2344
2022-05-19,(週四),1.2344,1.2454,1.2524,1.2334,1.2470,1.2489,,1.2470
2022-05-20,(週五),1.2470,1.2490,1.2500,1.2437,1.2508,1.2344,,1.2508
2022-05-23,(週一),1.2508,1.2574,1.2601,1.2499,1.2580,1.2470,,1.2580
2022-05-24,(週二),1.2580,1.2528,1.2599,1.2472,1.2525,1.2508,,1.2525
2022-05-25,(週三),1.2525,1.2566,1.2591,1.2481,1.2569,1.2580,,1.2569
2022-05-26,(週四),1.2569,1.2566,1.2621,1.2552,1.2576,1.2525,,1.2576
2022-05-27,(週五),1.2576,1.2630,1.2666,1.2586,1.2630,1.2569,,1.2630
2022-05-30,(週一),1.2630,1.2649,1.2660,1.2616,1.2652,1.2576,,1.2652
2022-05-31,(週二),1.2652,1.2595,1.2655,1.2500,1.2602,1.2630,,1.2602
2022-06-01,(週三),1.2602,1.2480,1.2617,1.2458,1.2481,1.2652,,1.2481
2022-06-02,(週四),1.2481,1.2570,1.2586,1.2469,1.2575,1.2602,,1.2575
2022-06-03,(週五),1.2575,1.2486,1.2590,1.2485,1.2498,1.2481,,1.2498
2022-06-06,(週一),1.2498,1.2527,1.2577,1.2476,1.2527,1.2575,,1.2527
2022-06-07,(週二),1.2527,1.2588,1.2599,1.2430,1.2589,1.2498,,1.2589
2022-06-08,(週三),1.2589,1.2534,1.2597,1.2513,1.2536,1.2527,,1.2536
2022-06-09,(週四),1.2536,1.2486,1.2558,1.2478,1.2486,1.2589,,1.2486
2022-06-10,(週五),1.2486,1.2310,1.2517,1.2301,1.2294,1.2536,,1.2294
2022-06-13,(週一),1.2294,1.2129,1.2300,1.2107,1.2128,1.2486,,1.2128
2022-06-14,(週二),1.2128,1.1990,1.2208,1.1934,1.1992,1.2294,,1.1992
2022-06-15,(週三),1.1992,1.2168,1.2204,1.1983,1.2169,1.2128,,1.2169
2022-06-16,(週四),1.2169,1.2346,1.2406,1.2041,1.2353,1.1992,,1.2353
2022-06-17,(週五),1.2353,1.2216,1.2360,1.2173,1.2225,1.2169,,1.2225
2022-06-20,(週一),1.2225,1.2236,1.2280,1.2199,1.2243,1.2353,,1.2243
2022-06-21,(週二),1.2243,1.2258,1.2325,1.2236,1.2277,1.2225,,1.2277
2022-06-22,(週三),1.2277,1.2260,1.2315,1.2161,1.2260,1.2243,,1.2260
2022-06-23,(週四),1.2260,1.2258,1.2294,1.2170,1.2253,1.2277,,1.2253
2022-06-24,(週五),1.2253,1.2271,1.2320,1.2241,1.2288,1.2260,,1.2288
2022-06-27,(週一),1.2288,1.2264,1.2332,1.2238,1.2263,1.2253,,1.2263
2022-06-28,(週二),1.2263,1.2181,1.2292,1.2180,1.2181,1.2288,,1.2181
2022-06-29,(週三),1.2181,1.2120,1.2213,1.2104,1.2118,1.2263,,1.2118
2022-06-30,(週四),1.2118,1.2172,1.2188,1.2092,1.2166,1.2181,,1.2166
2022-07-01,(週五),1.2166,1.2092,1.2175,1.1975,1.2110,1.2118,,1.2110
2022-07-04,(週一),1.2110,1.2100,1.2165,1.2080,1.2102,1.2166,,1.2102
2022-07-05,(週二),1.2102,1.1913,1.2125,1.1898,1.1943,1.2110,,1.1943
2022-07-06,(週三),1.1943,1.1899,1.1990,1.1876,1.1913,1.2102,,1.1913
2022-07-07,(週四),1.1913,1.2022,1.2030,1.1909,1.2019,1.1943,,1.2019
2022-07-08,(週五),1.2019,1.2033,1.2056,1.1920,1.2025,1.1913,,1.2025
2022-07-11,(週一),1.2025,1.1886,1.2028,1.1866,1.1895,1.2019,,1.1895
2022-07-12,(週二),1.1895,1.1880,1.1916,1.1807,1.1884,1.2025,,1.1884
2022-07-13,(週三),1.1884,1.1889,1.1967,1.1827,1.1889,1.1895,,1.1889
2022-07-14,(週四),1.1889,1.1817,1.1893,1.1760,1.1823,1.1884,,1.1823
2022-07-15,(週五),1.1823,1.1863,1.1874,1.1804,1.1873,1.1889,,1.1873
2022-07-18,(週一),1.1873,1.1942,1.2033,1.1868,1.1947,1.1823,,1.1947
2022-07-19,(週二),1.1947,1.1999,1.2045,1.1925,1.1997,1.1873,,1.1997
2022-07-20,(週三),1.1997,1.1971,1.2037,1.1950,1.1973,1.1947,,1.1973
2022-07-21,(週四),1.1973,1.1980,1.2004,1.1889,1.1989,1.1997,,1.1989
2022-07-22,(週五),1.1989,1.2004,1.2064,1.1916,1.2000,1.1973,,1.2000
2022-07-25,(週一),1.2000,1.2033,1.2087,1.1960,1.2035,1.1989,,1.2035
2022-07-26,(週二),1.2035,1.2016,1.2090,1.1964,1.2019,1.2000,,1.2019
2022-07-27,(週三),1.2019,1.2146,1.2186,1.2019,1.2149,1.2035,,1.2149
2022-07-28,(週四),1.2149,1.2169,1.2191,1.2103,1.2169,1.2019,,1.2169
2022-07-29,(週五),1.2169,1.2183,1.2246,1.2163,1.2171,1.2149,,1.2171
2022-08-01,(週一),1.2171,1.2246,1.2293,1.2162,1.2243,1.2169,,1.2243
2022-08-02,(週二),1.2243,1.2157,1.2279,1.2152,1.2164,1.2171,,1.2164
2022-08-03,(週三),1.2164,1.2129,1.2208,1.2100,1.2142,1.2243,,1.2142
2022-08-04,(週四),1.2142,1.2154,1.2214,1.2066,1.2157,1.2164,,1.2157
2022-08-05,(週五),1.2157,1.2073,1.2169,1.2003,1.2059,1.2142,,1.2059
2022-08-08,(週一),1.2059,1.2071,1.2137,1.2048,1.2077,1.2157,,1.2077
2022-08-09,(週二),1.2077,1.2072,1.2130,1.2061,1.2068,1.2059,,1.2068
2022-08-10,(週三),1.2068,1.2219,1.2276,1.2064,1.2210,1.2077,,1.2210
2022-08-11,(週四),1.2210,1.2199,1.2249,1.2182,1.2199,1.2068,,1.2199
2022-08-12,(週五),1.2199,1.2134,1.2216,1.2099,1.2132,1.2210,,1.2132
2022-08-15,(週一),1.2132,1.2054,1.2148,1.2050,1.2052,1.2199,,1.2052
2022-08-16,(週二),1.2052,1.2083,1.2118,1.2008,1.2091,1.2132,,1.2091
2022-08-17,(週三),1.2091,1.2043,1.2143,1.2028,1.2046,1.2052,,1.2046
